web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,image
1777380557-1,https://www.houseyog.com/get-house-plan,,34x52 East Facing 4 BHK House Plan - Spacious Single Floor Design with Big Hall & Living (1768 Sq Ft),3BHK house plan for 1768 sqft plot:  34x52 house plan East facing with 3 bed 3 bath,Layout: 34 x 52 ft,Built-up Area: 1768 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1285-34x52-house-plan-east-face-thumb-img.png
1777380557-2,https://www.houseyog.com/get-house-plan,,30x40 East Facing 3 BHK House Plan with Open Porch - Village Style Layout (1200 Sq Ft),2BHK house plan for 1200 sqft plot:  30x40 house plan East facing with 2 bed 1 bath and car parking,Layout: 30 x 40 ft,Built-up Area: 1200 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1286-30x40-house-plan-east-face-thumb-img.png
1777380557-3,https://www.houseyog.com/get-house-plan,,30x40 East Facing 2BHK House Plan with Shop (1200 Sq Ft),2BHK house plan for 1200 sqft plot:  30x40 house plan East facing with 2 bed 1 bath,Layout: 30 x 40 ft,Built-up Area: 1200 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1287-30x40-house-plan-east-face-thumb-img.png
1777380557-4,https://www.houseyog.com/get-house-plan,,20x30 East Facing 2BHK House Plan with Front Stairs (600 Sq Ft),2BHK house plan for 600 sqft plot:  20x30 house plan East facing with 2 bed 2 bath,Layout: 20 x 30 ft,Built-up Area: 600 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1284-20x30-house-plan-east-face-thumb-img.png
1777380557-5,https://www.houseyog.com/get-house-plan,,30x50 East Facing 2BHK House Plan (1500 Sq Ft) with Puja & Verandah,2BHK house plan for 1500 sqft plot:  30x50 house plan East facing with 2 bed 2 bath,Layout: 30 x 50 ft,Built-up Area: 1500 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1282-30x50-house-plan-east-face-thumb-img.png
1777380557-6,https://www.houseyog.com/get-house-plan,,30x35 North Facing 3BHK House Plan (1050 Sq Ft) - 4 Room Single Floor Layout,3BHK house plan for 1050 sqft plot:  30x35 house plan North facing with 3 bed 2 bath,Layout: 30 x 35 ft,Built-up Area: 1050 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1279-30x35-house-plan-north-face-thumb-img.png
1777380557-7,https://www.houseyog.com/get-house-plan,,30x40 West Facing 2BHK House Plan with Verandah & Separate Dining (1200 Sq Ft),2BHK house plan for 1200 sqft plot:  30x40 house plan West facing with 2 bed 1 bath,Layout: 30 x 40 ft,Built-up Area: 1200 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1280-30x40-house-plan-west-face-thumb-img.png
1777380557-8,https://www.houseyog.com/get-house-plan,,30x40 West Facing 3BHK House Plan with 3 Bathrooms & Attached Dressers (1200 Sq Ft),3BHK house plan for 1200 sqft plot:  30x40 house plan West facing with 3 bed 3 bath,Layout: 30 x 40 ft,Built-up Area: 1200 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1281-30x40-house-plan-west-face-thumb-img.png
1777380557-9,https://www.houseyog.com/get-house-plan,,"25x40 South Facing House Plan - 3BHK, 1000 Sqft (Vastu Compliant)",3BHK house plan for 1000 sqft plot:  25x40 house plan South facing with 3 bed 2 bath,Layout: 25 x 40 ft,Built-up Area: 1000 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1019-th-fp1019-25x40-house-plan-south-face-thumb-img.jpg
1777380557-10,https://www.houseyog.com/get-house-plan,,"25x40 East Facing 3BHK House Plan with Parking (1000 Sq Ft, Single Floor)",3BHK house plan for 1000 sqft plot:  25x40 house plan East facing with 3 bed 2 bath and car parking,Layout: 25 x 40 ft,Built-up Area: 1000 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1277-25x40-house-plan-east-face-thumb-img.png
1777380557-11,https://www.houseyog.com/get-house-plan,,"23x38 East Facing 2BHK House Plan with Parking & Puja (874 Sq Ft, Spacious Hall)",2BHK house plan for 874 sqft plot:  23x38 house plan East facing with 2 bed 1 bath and car parking,Layout: 23 x 38 ft,Built-up Area: 874 sqft,View House Plan & Download PDF,Layout,Built-up Area,https://www.houseyog.com/res/floorplan/fp1278-23x38-house-plan-east-face-thumb-img.png
